Product_ID,Material_Name,CAS_Number,Price_USD/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%
0ZA01228,Apricot Oil - Fixed Oil from PerfumersWorld,72869-69-3,0.10,,FALSE,,,
0ZA01393,Evening Primrose Oil - Fixed Oil from PerfumersWorld,90028-66-3,0.25,,FALSE,,,
0ZA01431,Sweet Almond Oil - Fixed Oil from PerfumersWorld,8007-69-0,0.09,,FALSE,,,
0ZA01433,Avocado Oil - Fixed Oil from PerfumersWorld,8024-32-6,0.12,,FALSE,,,
0ZA01434,Grapeseed Oil - Fixed Oil from PerfumersWorld,8024-22-4,0.09,,FALSE,,,
0ZA01437,Olive Oil - Fixed Oil from PerfumersWorld,8001-25-0,0.09,,FALSE,,,
0ZA01442,Rice Bran Oil - Fixed Oil from PerfumersWorld,68553-81-1,0.07,,FALSE,,,
0ZA01456,Jojoba Oil - Fixed Oil from PerfumersWorld,61789-91-1,0.25,,FALSE,,,
0ZA07519,Vitamin E Acetate - Fixed Oil from PerfumersWorld,7695-91-2,0.23,,FALSE,,,
0ZA07555,Palm Oil Fractionated - Fixed Oil (Palm MCT) from PerfumersWorld,8002-75-3,0.08,,FALSE,,,
0ZC00449,Triethyl Citrate (TEC) from PerfumersWorld,77-93-0,0.05,,FALSE,,,
0ZH20962,3-Methyl-3-Methoxy Butanol (MMB) from PerfumersWorld,56539-66-3,0.03,,FALSE,,,
0ZN00053,Benzyl Alcohol (BA) from PerfumersWorld,100-51-6,0.20,,FALSE,,,
0ZN00054,Benzyl Benzoate (BB) from PerfumersWorld,120-51-4,0.20,,FALSE,,,
0ZP00365,Propylene Glycol (PG) from PerfumersWorld,57-55-6,0.06,,FALSE,,,
0ZP03359,Butylated Hydroxytoluene (BHT) antioxidant from PerfumersWorld,128-37-0,0.09,,FALSE,,,
0ZS05357,Solubilizer (Polysorbate 20) from PerfumersWorld,9005-64-5,0.08,,FALSE,,,
0ZS07626,Solubilizer PWS from PerfumersWorld,Mixture,0.07,,FALSE,,,
0ZS07781,Solubilizer Extra Clear from PerfumersWorld,Mixture,0.19,,FALSE,,,
0ZV01349,Rosemary Antioxidant - Extract from PerfumersWorld,84604-14-8,0.65,,FALSE,,,
0ZV01445,Safflower Oil - Fixed Oil from PerfumersWorld,8001-23-8,0.09,,FALSE,,,
0ZV01452,Sunflower Oil - Fixed Oil from PerfumersWorld,8001-21-6,0.07,,FALSE,,,
0ZV01460,Virgin Coconut Oil - Fixed Oil from PerfumersWorld,8001-31-8,0.08,,FALSE,,,
0ZV22213,Coconut Oil Fractionated (Coconut MCT) Fixed Oil from PerfumersWorld,73398-61-5,0.08,,FALSE,,,
0ZW00165,Dipropylene Glycol (DPG) from PerfumersWorld,25265-71-8,0.07,,FALSE,,,
0ZX00143,Diethyl Phthalate (DEP) from PerfumersWorld,84-66-2,0.08,,FALSE,,,
0ZZ00239,Isopropyl Myristate (IPM) from PerfumersWorld,110-27-0,0.06,,FALSE,,,
0ZZ00240,Isopropyl Palmitate (IPP) from PerfumersWorld,142-91-6,0.11,,FALSE,,,
0ZZ07723,White Mineral Oil - Fixed Oil from PerfumersWorld,8042-47-5,0.08,,FALSE,,,
1AA05031,Myristic Acid from PerfumersWorld,544-63-8,0.18,,FALSE,,,
1AA06214,Lauric Acid from PerfumersWorld,143-07-7,0.09,,FALSE,,,
1BB00290,Menthol Crystals from PerfumersWorld,2216-51-5,0.16,,FALSE,,,
1BH00080,Camphor Powder from PerfumersWorld,76-22-2,0.10,,FALSE,,,
1BW00064,Borneol from PerfumersWorld,507-70-0,0.14,,FALSE,,,
1CN00320,Nerolin Bromelia from PerfumersWorld,93-18-5,0.13,,FALSE,,,
1CN00321,Nerolin Yara yara from PerfumersWorld,93-04-9,0.11,,FALSE,,,
1EN13109,2-Acetyl Pyrazine from PerfumersWorld,22047-25-2,0.71,,FALSE,,,
1FB00071,Buccoxime from PerfumersWorld,95962-14-4,2.80,,FALSE,,,
1FL00392,Raspberry Ketone from PerfumersWorld,5471-51-2,0.36,,FALSE,,,
1NC00340,Oranger Crystals from PerfumersWorld,93-08-3,0.29,,FALSE,,,
1NP00009,Acetophenone from PerfumersWorld,98-86-2,0.23,,FALSE,,,
1PF01952,para-Cresyl Phenyl Acetate from PerfumersWorld,101-94-0,0.89,,FALSE,,,
1PS00442,Thymol from PerfumersWorld,89-83-8,0.27,,FALSE,,,
1RO05275,Phenyl Ethyl Salicylate from PerfumersWorld,87-22-9,0.35,,FALSE,,,
1RP00051,Benzophenone from PerfumersWorld,119-61-9,0.15,,FALSE,,,
1RP05672,Rosone Rose Crystals from PerfumersWorld,90-17-5,0.12,,FALSE,,,
1SP00011,Acetyl Isoeugenol from PerfumersWorld,93-29-8,0.60,,FALSE,,,
1SP00058,Benzyl Isoeugenol from PerfumersWorld,120-11-6,0.70,,FALSE,,,
1UW00035,Ambrox Super from PerfumersWorld,6790-58-5,1.50,,FALSE,,,
1UW00036,Ambroxan from PerfumersWorld,6790-58-5,2.52,,FALSE,,,
1UW16861,Ambrofix from PerfumersWorld,6790-58-5,1.87,,FALSE,,,
1VD00002,6-Methyl Coumarin from PerfumersWorld,92-48-8,0.58,PROHIBITED,FALSE,,,
1VD00129,Coumarin from PerfumersWorld,91-64-5,0.11,,FALSE,,,
1VE00283,Maltol from PerfumersWorld,118-71-8,0.32,,FALSE,,,
1VE00286,Maple Lactone from PerfumersWorld,698-10-2,0.71,,FALSE,,,
1VF00175,Ethyl Maltol from PerfumersWorld,4940-11-8,0.48,,FALSE,,,
1VT23924,Cocoa CO2 Extract from PerfumersWorld,84649-99-0,1.50,,FALSE,,,
1VV00179,Ethyl Vanillin from PerfumersWorld,121-32-4,0.30,,FALSE,,,
1VW00456,Vanillin from PerfumersWorld,121-33-5,0.19,,FALSE,,,
1WU21632,Ambrocenide from PerfumersWorld,211299-54-6,4.93,,FALSE,,,
1WW00096,Cedrenyl Acetate from PerfumersWorld,77-54-3,0.28,,FALSE,,,
1WW01281,Cedrol from PerfumersWorld,77-53-2,0.24,,FALSE,,,
1XA00444,Tonalide from PerfumersWorld,21145-77-7,0.22,,FALSE,,,
1XU00308,Musk Ketone from PerfumersWorld,81-14-1,0.20,,FALSE,,,
1XY00101,Celestolide from PerfumersWorld,13171-00-1,0.31,,FALSE,,,
1YG00077,Calone from PerfumersWorld,28940-11-6,4.46,,FALSE,,,
1YP00185,Evernyl from PerfumersWorld,4707-47-5,0.52,,FALSE,,,
