Status,Cleaned_Name,WIP_CAS,PubChem_CID,PubChem_Title,PubChem_CAS_All,PubChem_Synonyms_Top10,Audit_Notes,Original_Name,Supplier_CAS_Map,Product_URL
WIP_DISCREPANCY,Ocimene,13877-91-3,6434062,Ocimene,29714-87-2,"EINECS 249-805-0|29714-87-2|2,6-Dimethyloctane, hexadehydro derivative|11LWZ8H108|ocimenes|OCIMENE [MI]|RefChem:855387|CHEBI:87751|OCIMENE|Octatriene, dimethyl-",WIP CAS 13877-91-3 not in PubChem ['29714-87-2']; Supplier PerfumersWorld CAS 13877-91-3 error; Supplier MySkinRecipes CAS 13877-91-3 error; Supplier SimpleScentsDIY CAS 13877-91-3 error,Ocimene from PerfumersWorld,"{'PerfumersWorld': '13877-91-3', 'MySkinRecipes': '13877-91-3', 'SimpleScentsDIY': '13877-91-3'}",https://www.perfumersworld.com/view.php?pro_id=3QC00330
WIP_VERIFIED,Polysantol,107898-54-4,15984303,"4-Penten-2-ol, 3,3-dimethyl-5-(2,2,3-trimethyl-3-cyclopenten-1-yl)-",107898-54-4|244626-73-1,"107898-54-4|(E)-3,3-dimethyl-5-(2,2,3-trimethylcyclopent-3-en-1-yl)pent-4-en-2-ol|4-Penten-2-ol, 3,3-dimethyl-5-(2,2,3-trimethyl-3-cyclopenten-1-yl)-|EC 411-580-3|(+/-) trans-3,3-dimethyl-5-(2,2,3-trimethyl-cyclopent-3-en-1-yl)pent-4-en-2-ol|244626-73-1|SCHEMBL238074|QZFSNJAQFWEXEA-MDZDMXLPSA-N|DTXSID401021085|MFCD16038640",,Polysantol from PerfumersWorld,"{'PerfumersWorld': '107898-54-4', 'MySkinRecipes': '107898-54-4', 'SimpleScentsDIY': '107898-54-4'}",https://www.perfumersworld.com/view.php?pro_id=3WM16912
WIP_VERIFIED,Allyl Amyl Glycolate,67634-00-8,106729,Allyl amyl glycolate,67634-00-8,"Allyl (3-methylbutoxy)acetate|67634-00-8|Allyl 2-(isopentyloxy)acetate|Glycolic acid 2-pentyloxy allyl ester|Isoamyloxyacetic acid, allyl ester|Acetic acid, (3-methylbutoxy)-, 2-propenyl ester|EINECS 266-803-5|EMX89K493E|DTXSID9025580|Acetic acid, 2-(3-methylbutoxy)-, 2-propen-1-yl ester",,Allyl Amyl Glycolate from PerfumersWorld,"{'PerfumersWorld': '67634-00-8', 'MySkinRecipes': '67634-00-8', 'SimpleScentsDIY': '67634-00-8'}",https://www.perfumersworld.com/view.php?pro_id=4FG00029
WIP_VERIFIED,Ethyl Linalool,10339-55-6,6433547,Ethyl linalool,10339-55-6|92590-71-1,"Ethyl linalool|10339-55-6|3,7-Dimethyl-1,6-nonadien-3-ol|1,6-NONADIEN-3-OL, 3,7-DIMETHYL-|EINECS 233-732-6|DTXSID9047415|AI3-35814|SF2JS9GF5T|DTXCID7027415|EC 233-732-6",,Ethyl Linalool from PerfumersWorld,"{'PerfumersWorld': '10339-55-6', 'MySkinRecipes': '10339-55-6', 'SimpleScentsDIY': '10339-55-6'}",https://www.perfumersworld.com/view.php?pro_id=4LL11499
SUPPLIER_MISMATCH,Bourgeonal,18127-01-0,64832,Bourgeonal,18127-01-0,"3-(4-tert-butylphenyl)propanal|Bourgeonal|18127-01-0|Benzenepropanal, 4-(1,1-dimethylethyl)-|DTXSID6044808|H3XVS6E70V|DTXCID4024808|RefChem:121158|242-016-2|3-(4-(tert-Butyl)phenyl)propanal",Supplier SimpleScentsDIY CAS 110-41-8 error,Bourgeonal from PerfumersWorld,"{'PerfumersWorld': '18127-01-0', 'MySkinRecipes': '18127-01-0', 'SimpleScentsDIY': '110-41-8'}",https://www.perfumersworld.com/view.php?pro_id=4MA00067
WIP_VERIFIED,Isopropyl Myristate,110-27-0,8042,Isopropyl Myristate,110-27-0,"ISOPROPYL MYRISTATE|110-27-0|Isopropyl tetradecanoate|Isomyst|Bisomel|Estergel|Tetradecanoic acid, 1-methylethyl ester|Deltyl Extra|propan-2-yl tetradecanoate|Kesscomir",,Isopropyl Myristate (IPM) from PerfumersWorld,"{'PerfumersWorld': '110-27-0', 'MySkinRecipes': '110-27-0'}",https://www.perfumersworld.com/view.php?pro_id=0ZZ00239
WIP_VERIFIED,Borneol,507-70-0,64685,Borneol,507-70-0|124-76-5|10385-78-1,"Borneol|507-70-0|2-borneol|Bingpian|Bornyl alcohol|Hechenglongnao|Camphol|Endo-2-camphanol|Borneol, dl-|Borneolum syntheticum",,Borneol from PerfumersWorld,"{'PerfumersWorld': '507-70-0', 'MySkinRecipes': '507-70-0'}",https://www.perfumersworld.com/view.php?pro_id=1BW00064
WIP_VERIFIED,Acetophenone,98-86-2,7410,Acetophenone,98-86-2,"ACETOPHENONE|98-86-2|1-Phenylethanone|Phenyl methyl ketone|Methyl phenyl ketone|Acetylbenzene|Hypnone|Ethanone, 1-phenyl-|Benzoyl methide|1-phenylethan-1-one",,Acetophenone from PerfumersWorld,"{'PerfumersWorld': '98-86-2', 'MySkinRecipes': '98-86-2'}",https://www.perfumersworld.com/view.php?pro_id=1NP00009
WIP_VERIFIED,Thymol,89-83-8,6989,Thymol,89-83-8,THYMOL|89-83-8|2-Isopropyl-5-methylphenol|5-Methyl-2-(1-methylethyl)phenol|Thyme camphor|5-Methyl-2-isopropylphenol|6-Isopropyl-m-cresol|3-p-Cymenol|m-Thymol|p-Cymen-3-ol,,Thymol from PerfumersWorld,"{'PerfumersWorld': '89-83-8', 'MySkinRecipes': '89-83-8'}",https://www.perfumersworld.com/view.php?pro_id=1PS00442
WIP_VERIFIED,Benzophenone,119-61-9,3102,Benzophenone,119-61-9,"BENZOPHENONE|119-61-9|diphenylmethanone|Diphenyl ketone|Benzoylbenzene|Methanone, diphenyl-|Phenyl ketone|alpha-Oxoditane|Ketone, diphenyl|Diphenylketone",,Benzophenone from PerfumersWorld,"{'PerfumersWorld': '119-61-9', 'MySkinRecipes': '119-61-9'}",https://www.perfumersworld.com/view.php?pro_id=1RP00051
