Product_ID	Material_Name	CAS_Number	New CAS	Price_US/g	Notes	Is_Dilution	Active_Material	Solvent	Active_%
3LC03808	(Ghost entry - name unknown) from PerfumersWorld		Not Found	0.5	Blank product page on PW - name/data not available	FALSE			
3WX07632	Sandenol 208 from PerfumersWorld	28219-61-6		0.32		FALSE			
4FY02024	Ethyl Heptylate from PerfumersWorld	106-30-9		0.11		FALSE			
4WF06853	Aphermate from PerfumersWorld	25225-08-5		0.8		FALSE			
4WR00045	Bacdanol from PerfumersWorld	28219-61-6		0.29		FALSE			
5GQ08833	Galbanum Resinoid 10% in DPG from PerfumersWorld	"9000-24-2|0.1
25265-71-8|0.9"		0.2		TRUE	Galbanum Resinoid from PerfumersWorld	Dipropylene Glycol (DPG) from PerfumersWorld	0.1
5GQ13590	Galbanum Resinoid 50% in DEP from PerfumersWorld	"9000-24-2|0.5
84-66-2|0.5"		1.25		TRUE	Galbanum Resinoid from PerfumersWorld	Diethyl Phthalate (DEP) from PerfumersWorld	0.5
5GQ18775	Galbanum Resinoid 10% in TEC from PerfumersWorld	"9000-24-2|0.1
77-93-0|0.9"		0.23		TRUE	Galbanum Resinoid from PerfumersWorld	Triethyl Citrate (TEC) from PerfumersWorld	0.1
5JJ21775	Hedione High Cis 10% in TEC from PerfumersWorld	"24851-98-7|0.1
77-93-0|0.9"		0.13		TRUE	Hedione High Cis from PerfumersWorld	Triethyl Citrate (TEC) from PerfumersWorld	0.1
5KB13801	(Ghost entry - name unknown) from PerfumersWorld		Not Found	0.08	Blank product page on PW - name/data not available	FALSE			
6WX24054	Sandalwood Base X3 from PerfumersWorld	Mixture (Perfume Base)		0.27		FALSE			
7KH00888	Spruce Essential Oil from PerfumersWorld	8008-80-8		0.8		FALSE			
7SC00941	Pink Pepper Essential Oil from PerfumersWorld	68917-52-2		4.92		FALSE			
8RM00395	Rose de Mai Absolute from PerfumersWorld	84604-12-6		13.0		FALSE			
