Product_ID,Material_Name,Package_Size,CAS_Number,New CAS,Price_THB_total,Price_THB/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%,Supplier,Product_URL
3971,Ethyl Anthranilate (FEMA,1 g,87-25-2,,528.25,528.2500,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/ungrouped/3971-ethyl-anthranilatefema-2421.html
2905,Evernyl (Veramoss),1 g,4707-47-5,,83.37,83.3700,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/yeast-moss-ยีส-มอสส์/2905-veramoss.html
2877,Ethylene Brassylate,1 g,105-95-3,,44.46,44.4600,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/musk-มัสก์/2877-ethylene-brassylate.html
2841,Longifolene,1 g,475-20-7,,41.47,41.4700,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/wood-ไม้-เปลือกไม้/2841-longifolene.html
2819,Ethyl Maltol,1 g,4940-11-8,,48.75,48.7500,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/vanilla-วานิลลา/2819-ethyl-maltol-fema-3487.html
2806,p‑Cresyl Phenyl Acetate,1 g,101-94-0,,73.99,73.9900,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/animal-สัตว์/2806-para-cresyl-phenyl-acetate-fema-3077.html
2805,Rum Ether,1 g,8030-89-5,,45.76,45.7600,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/tar-ควัน/2805-rum-ether-pyroligneous-acids-ethyl-esters.html
2783,Para,1 g,100-06-1,,48.45,48.4500,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/spice-เผ็ดร้อน/2783-para-acetanisole.html
2756,Ethyl Phenyl Acetate,1 g,101-97-3,,48.45,48.4500,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/rose-กุหลาบ/2756-ethyl-phenyl-acetate.html
2739,Methyl Cinnamate (FEMA‑2698),1 g,103-26-4,,43.47,43.4700,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/frankincense-กำยาน/2739-methyl-cinnamate-fema-2698.html
2730,Methyl Phenyl Acetate,1 g,101-41-7,,42.03,42.0300,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/phenolic-ยา/2730-methyl-phenyl-acetate.html
2726,Amyl Salicylate,1 g,2050-08-0,,38.44,38.4400,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/orchid-กล้วยไม้/2726-amyl-salicylate.html
2720,p‑Methyl Acetophenone,1 g,122-00-9,,44.66,44.6600,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/narcotic-ยาเสพติด/2720-para-methyl-acetophenone.html
2705,Floral Pyranol,1 g,63500-71-0,,48.95,48.9500,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/lily-of-the-valley/2705-floral-pyranol.html
2684,Dimethyl Benzyl Carbinol,1 g,,,48.45,48.4500,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/linalool-ฟรีเซีย/2684-dimethyl-benzyl-carbinol.html
2676,Beta,1 g,,,48.45,48.4500,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/konifer-ต้นสน/2676-beta-pinene-fema-2903.html
2663,Alpha,1 g,,,40.47,40.4700,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/jasmine-มะลิ/2663-alpha-hexyl-cinnamaldehyde-fema-2569.html
2655,Alpha,1 g,,,69.40,69.4000,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/iris-ไอริส/2655-alpha-ionone.html
2650,Gamma,1 g,,,100.92,100.9200,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/herb-สมุนไพร/2650-gamma-valerolactone-fema-3103.html
2600,Styralyl Alcohol (FEMA‑2685),1 g,98-85-1,,44.36,44.3600,,,,,,MySkinRecipes,https://www.myskinrecipes.com/shop/th/green-พืช-ใบไม้เขียว/2600-styralyl-alcohol-fema-2685-.html
