Product_ID,Material_Name,CAS_Number,New CAS,Price_US/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%
4EW07503,2 3-Dimethyl Pyrazine from PerfumersWorld,5910-89-4,,2.69,,FALSE,,,
5EW07840,2 3-Dimethyl Pyrazine 1% in DPG from PerfumersWorld,"5910-89-4|0.01
25265-71-8|0.99",,0.12,,TRUE,2 3-Dimethyl Pyrazine from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.01
5EW20137,2 3-Dimethyl Pyrazine 10% in DPG from PerfumersWorld,"5910-89-4|0.1
25265-71-8|0.9",,0.29,,TRUE,2 3-Dimethyl Pyrazine from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
4EW14326,2 Acetyl Thaizole from PerfumersWorld,24295-03-2,,2.50,,FALSE,,,
1EN13109,2-Acetyl Pyrazine from PerfumersWorld,22047-25-2,,0.71,,FALSE,,,
5EN13769,2-Acetyl Pyrazine 1% in DPG from PerfumersWorld,"22047-25-2|0.01
25265-71-8|0.99",,0.10,,TRUE,2-Acetyl Pyrazine from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.01
4ES11805,2-iso Propyl 4 Methyl Thiazole from PerfumersWorld,15679-13-7,,1.60,,FALSE,,,
5ES13952,2-iso Propyl 4 Methyl Thiazole 1% in DPG from PerfumersWorld,"15679-13-7|0.01
25265-71-8|0.99",,0.10,,TRUE,2-iso Propyl 4 Methyl Thiazole from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.01
4FC07622,2-Methyl-2-Pentenoic Acid from PerfumersWorld,3142-72-1,,0.32,,FALSE,,,
5FC07623,2-Methyl-2-Pentenoic Acid 10% in DPG from PerfumersWorld,"6297-41-2|0.1
25265-71-8|0.9",,0.05,,TRUE,2-Methyl-2-Pentenoic Acid from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1
