Product_ID,Material_Name,Supplier,CAS_Number,New CAS,Price_US/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%,Source_URL
4EW07503,2 3-Dimethyl Pyrazine from PerfumersWorld,PerfumersWorld,5910-89-4,,2.69,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=4EW07503
5EW07840,2 3-Dimethyl Pyrazine 1% in DPG from PerfumersWorld,PerfumersWorld,"5910-89-4|0.01
25265-71-8|0.99",,0.12,,TRUE,2 3-Dimethyl Pyrazine from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.01,https://www.perfumersworld.com/view.php?pro_id=5EW07840
5EW20137,2 3-Dimethyl Pyrazine 10% in DPG from PerfumersWorld,PerfumersWorld,"5910-89-4|0.1
25265-71-8|0.9",,0.29,,TRUE,2 3-Dimethyl Pyrazine from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1,https://www.perfumersworld.com/view.php?pro_id=5EW20137
4EW14326,2 Acetyl Thaizole from PerfumersWorld,PerfumersWorld,24295-03-2,,2.50,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=4EW14326
1EN13109,2-Acetyl Pyrazine from PerfumersWorld,PerfumersWorld,22047-25-2,,0.71,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=1EN13109
5EN13769,2-Acetyl Pyrazine 1% in DPG from PerfumersWorld,PerfumersWorld,"22047-25-2|0.01
25265-71-8|0.99",,0.10,,TRUE,2-Acetyl Pyrazine from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.01,https://www.perfumersworld.com/view.php?pro_id=5EN13769
4ES11805,2-iso Propyl 4 Methyl Thiazole from PerfumersWorld,PerfumersWorld,15679-13-7,,1.60,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=4ES11805
5ES13952,2-iso Propyl 4 Methyl Thiazole 1% in DPG from PerfumersWorld,PerfumersWorld,"15679-13-7|0.01
25265-71-8|0.99",,0.10,,TRUE,2-iso Propyl 4 Methyl Thiazole from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.01,https://www.perfumersworld.com/view.php?pro_id=5ES13952
4FC07622,2-Methyl-2-Pentenoic Acid from PerfumersWorld,PerfumersWorld,3142-72-1,,0.32,,FALSE,,,,https://www.perfumersworld.com/view.php?pro_id=4FC07622
5FC07623,2-Methyl-2-Pentenoic Acid 10% in DPG from PerfumersWorld,PerfumersWorld,"6297-41-2|0.1
25265-71-8|0.9",,0.05,,TRUE,2-Methyl-2-Pentenoic Acid from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,0.1,https://www.perfumersworld.com/view.php?pro_id=5FC07623
