Product_ID,Material_Name,CAS_Number,Price_US/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%,Availability,Price_Change
6WU18875,AGARWOOD F-TEC from PerfumersWorld,Mixture (Perfume Base),1.300,,FALSE,,,,Available,+0.200
3AD13388,Alcohol C-8 Octanol from PerfumersWorld,111-87-5,0.200,,FALSE,,,,Available,+0.020
4IN10857,Allyl Ionone Cetone V from PerfumersWorld,79-78-7,1.300,,FALSE,,,,Available,+0.890
8II00243,Alpha Irone from PerfumersWorld,79-69-6,5.100,,FALSE,,,,Available,+0.120
3KL00430,Alpha Terpineol from PerfumersWorld,98-55-5,0.150,,FALSE,,,,Available,+0.050
4WW17035,Amber Core from PerfumersWorld,139504-68-0,0.460,,FALSE,,,,Not Listed,REMOVED
3WQ11673,Amber Decane from PerfumersWorld,58567-11-6,0.450,,FALSE,,,,Available,+0.010
6FG08058,Apple Green from PerfumersWorld,Mixture (Perfume Base),0.150,,FALSE,,,,Available,+0.010
6WQ18085,ARABIAN OUD F-TEC from PerfumersWorld,Mixture (Perfume Base),0.400,,FALSE,,,,Available,+0.050
6PS18638,BASIL F-TEC from PerfumersWorld,Mixture (Perfume Base),0.380,,FALSE,,,,Available,+0.030
6QV18435,BENZOIN F-TEC from PerfumersWorld,Mixture (Perfume Base),0.300,,FALSE,,,,Available,+0.050
2QV00050,Benzoin Siam Resinoid from PerfumersWorld,100-51-6,0.700,,FALSE,,,,Available,+0.100
5QV07505,Benzoin Siam Resinoid 50% in BB from PerfumersWorld,"9000-72-0|0.5
120-51-4|0.5",0.400,,TRUE,Benzoin Siam Resinoid from PerfumersWorld,Benzyl Benzoate (BB) from PerfumersWorld,50.00%,Available,+0.050
5QV13027,Benzoin Siam Resinoid 50% in DPG from PerfumersWorld,"9000-72-0|0.5
25265-71-8|0.5",0.400,,TRUE,Benzoin Siam Resinoid from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,50.00%,Available,+0.060
2SQ00056,Benzyl Cinnamate from PerfumersWorld,103-41-3,0.300,,FALSE,,,,Available,+0.050
5SQ12479,Benzyl Cinnamate 10% in DPG from PerfumersWorld,"103-41-3|0.1
25265-71-8|0.9",0.100,,TRUE,Benzyl Cinnamate from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,+0.040
7TP00822,Birch Tar Oil Rectified from PerfumersWorld,8001-88-5,2.300,,FALSE,,,,Available,+0.200
7CA00849,Bitter Orange Essential Oil from PerfumersWorld,2111-75-3,0.500,,FALSE,,,,Available,+0.040
8FB00063,Blackcurrant Absolute from PerfumersWorld,122-78-1,8.100,,FALSE,,,,Available,+1.000
7TW00076,Cade Oil Rectified from PerfumersWorld,8013-10-3,0.750,,FALSE,,,,Available,+0.050
6SC18557,CARDAMON F-TEC from PerfumersWorld,Mixture (Perfume Base),0.600,,FALSE,,,,Available,+0.100
4GF00226,cis-3 Hexenyl Acetate from PerfumersWorld,3681-71-8,0.800,,FALSE,,,,Available,+0.080
3UU07513,Civet Art from PerfumersWorld,103-95-7,4.000,,FALSE,,,,Available,+1.300
