Product_ID,Material_Name,CAS_Number,Price_US/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%,Availability,Price_Change
4EW07503,2 3-Dimethyl Pyrazine from PerfumersWorld,5910-89-4,2.690,,FALSE,,,,Available,unchanged
5EW07840,2 3-Dimethyl Pyrazine 1% in DPG from PerfumersWorld,"5910-89-4|0.01
25265-71-8|0.99",0.120,,TRUE,2 3-Dimethyl Pyrazine from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,1.00%,Available,unchanged
5EW20137,2 3-Dimethyl Pyrazine 10% in DPG from PerfumersWorld,"5910-89-4|0.1
25265-71-8|0.9",0.290,,TRUE,2 3-Dimethyl Pyrazine from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
4EW14326,2 Acetyl Thaizole from PerfumersWorld,24295-03-2,2.500,,FALSE,,,,Available,unchanged
1EN13109,2-Acetyl Pyrazine from PerfumersWorld,22047-25-2,0.710,,FALSE,,,,Available,unchanged
5EN13769,2-Acetyl Pyrazine 1% in DPG from PerfumersWorld,"22047-25-2|0.01
25265-71-8|0.99",0.100,,TRUE,2-Acetyl Pyrazine from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,1.00%,Available,unchanged
4ES11805,2-iso Propyl 4 Methyl Thiazole from PerfumersWorld,15679-13-7,1.480,,FALSE,,,,Available,unchanged
5ES13952,2-iso Propyl 4 Methyl Thiazole 1% in DPG from PerfumersWorld,"15679-13-7|0.01
25265-71-8|0.99",0.100,,TRUE,2-iso Propyl 4 Methyl Thiazole from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,1.00%,Available,unchanged
4FC07622,2-Methyl-2-Pentenoic Acid from PerfumersWorld,3142-72-1,0.320,,FALSE,,,,Available,unchanged
5FC07623,2-Methyl-2-Pentenoic Acid 10% in DPG from PerfumersWorld,"3142-72-1|0.1
25265-71-8|0.9",0.050,,TRUE,2-Methyl-2-Pentenoic Acid from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
4FD00001,2-Methylbutyl 2-Methylbutyrate from PerfumersWorld,2445-78-5,0.330,,FALSE,,,,Available,unchanged
4FY22527,2-Octen-4-one from PerfumersWorld,4643-27-0,4.100,,FALSE,,,,Available,unchanged
0ZH20962,3-Methyl-3-Methoxy Butanol (MMB) from PerfumersWorld,56539-66-3,0.030,,FALSE,,,,Available,unchanged
1VD00002,6-Methyl Coumarin from PerfumersWorld,92-48-8,0.580,PROHIBITED,FALSE,,,,Available,unchanged
5VD07562,6-Methyl Coumarin 10% in DPG from PerfumersWorld,"92-48-8|0.1
25265-71-8|0.9",0.180,PROHIBITED,TRUE,6-Methyl Coumarin from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
6AN18003,A-ALDEHYDE F-TEC from PerfumersWorld,Mixture (Perfume Base),0.180,,FALSE,,,,Available,unchanged
6AN07832,A-Aldehyde Fleuressence from PerfumersWorld,Mixture (Perfume Base),0.200,,FALSE,,,,Available,unchanged
6NL18079,ACACIA F-TEC from PerfumersWorld,Mixture (Perfume Base),0.200,,FALSE,,,,Available,unchanged
6NL08389,Acacia Fleuressence from PerfumersWorld,Mixture (Perfume Base),0.190,,FALSE,,,,Available,unchanged
4FG02943,Acetic Acid from PerfumersWorld,64-19-7,0.070,,FALSE,,,,Available,unchanged
4DV02664,Acetoin from PerfumersWorld,513-86-0,0.920,,FALSE,,,,Available,unchanged
5DV09244,Acetoin 10% in DPG from PerfumersWorld,"513-86-0|0.1
25265-71-8|0.9",0.130,,TRUE,Acetoin from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
1NP00009,Acetophenone from PerfumersWorld,98-86-2,0.230,,FALSE,,,,Available,unchanged
1SP00011,Acetyl Isoeugenol from PerfumersWorld,93-29-8,0.600,,FALSE,,,,Available,unchanged
5SP07823,Acetyl Isoeugenol 10% in DPG from PerfumersWorld,"93-29-8|0.1
25265-71-8|0.9",0.120,,TRUE,Acetyl Isoeugenol from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
4GA00012,Adoxal from PerfumersWorld,141-13-9,1.420,,FALSE,,,,Available,unchanged
5GA08479,Adoxal 10% in DPG from PerfumersWorld,"141-13-9|0.1
25265-71-8|0.9",0.170,,TRUE,Adoxal from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
6WU18875,AGARWOOD F-TEC from PerfumersWorld,Mixture (Perfume Base),1.300,,FALSE,,,,Available,+0.200
6WU08483,Agarwood Fleuressence from PerfumersWorld,Mixture (Perfume Base),1.600,,FALSE,,,,Available,unchanged
7WU09890,Agarwood Oil Siam from PerfumersWorld,100-52-7,25.000,,FALSE,,,,Available,unchanged
5WU15067,Agarwood Oil Siam 10% in DPG from PerfumersWorld,"94350-09-1|0.1
25265-71-8|0.9",2.800,,TRUE,Agarwood Oil Siam from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
8WU13317,Agarwood Siam 10% in Nagarmotha Oil from PerfumersWorld,"94350-09-1|0.1
68916-60-9|0.9",3.940,,TRUE,Agarwood Oil Siam from PerfumersWorld,Nagarmotha Oil from PerfumersWorld,10.00%,Available,unchanged
6CG13368,Agrumen Aldehyde PW from PerfumersWorld,Mixture (Perfume Base),0.200,,FALSE,,,,Available,unchanged
3AE13387,Alcohol C-7 Heptanol from PerfumersWorld,111-70-6,0.340,,FALSE,,,,Available,unchanged
3AD13388,Alcohol C-8 Octanol from PerfumersWorld,111-87-5,0.200,,FALSE,,,,Available,+0.020
3AD00017,Alcohol C-9 from PerfumersWorld,143-08-8,0.700,,FALSE,,,,Available,unchanged
4AC00018,Aldehyde C-10 Decanal from PerfumersWorld,112-31-2,0.170,,FALSE,,,,Available,unchanged
5AC07527,Aldehyde C-10 Decanal 10% in DPG from PerfumersWorld,"112-31-2|0.1
25265-71-8|0.9",0.080,,TRUE,Aldehyde C-10 Decanal from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
5AC08459,Aldehyde C-10 Decanal 50% in DPG from PerfumersWorld,"112-31-2|0.5
25265-71-8|0.5",0.120,,TRUE,Aldehyde C-10 Decanal from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,50.00%,Available,unchanged
4AR00020,Aldehyde C-11 Undecanal from PerfumersWorld,112-44-7,0.410,,FALSE,,,,Available,unchanged
5AR08831,Aldehyde C-11 Undecanal 10% in DPG from PerfumersWorld,"112-44-7|0.1
25265-71-8|0.9",0.110,,TRUE,Aldehyde C-11 Undecanal from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
4AR01236,Aldehyde C-11 Undecylenic from PerfumersWorld,112-45-8,0.300,,FALSE,,,,Available,unchanged
5AR08462,Aldehyde C-11 Undecylenic 10% in DPG from PerfumersWorld,"112-45-8|0.1
25265-71-8|0.9",0.070,,TRUE,Aldehyde C-11 Undecylenic from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
4AA00021,Aldehyde C-12 Lauric Dodecanal from PerfumersWorld,112-54-9,0.250,,FALSE,,,,Available,unchanged
5AA07834,Aldehyde C-12 Lauric Dodecanal 10% in DPG from PerfumersWorld,"112-54-9|0.1
25265-71-8|0.9",0.060,,TRUE,Aldehyde C-12 Lauric Dodecanal from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
4AG00022,Aldehyde C-12 MNA from PerfumersWorld,110-41-8,0.280,,FALSE,,,,Available,unchanged
5AG07528,Aldehyde C-12 MNA 10% in DPG from PerfumersWorld,"110-41-8|0.1
25265-71-8|0.9",0.060,,TRUE,Aldehyde C-12 MNA from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
4DD00454,Aldehyde C-14 Gamma Undecalactone from PerfumersWorld,104-67-6,0.170,,FALSE,,,,Available,unchanged
5DD07538,Aldehyde C-14 Gamma Undecalactone 10% in DPG from PerfumersWorld,"104-67-6|0.1
25265-71-8|0.9",0.150,,TRUE,Aldehyde C-14 Gamma Undecalactone from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
4FC00176,Aldehyde C-16 Ethyl Methyl Phenyl Glycidate from PerfumersWorld,77-83-8,0.140,,FALSE,,,,Available,unchanged
5FC07539,Aldehyde C-16 Ethyl Methyl Phenyl Glycidate 10% in DPG from PerfumersWorld,"77-83-8|0.1
25265-71-8|0.9",0.060,,TRUE,Aldehyde C-16 Ethyl Methyl Phenyl Glycidate from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
4DD00324,Aldehyde C-18 Gamma Nonalactone from PerfumersWorld,104-61-0,0.210,,FALSE,,,,Available,unchanged
5DD12925,Aldehyde C-18 Gamma Nonalactone 10% in DPG from PerfumersWorld,"104-61-0|0.1
25265-71-8|0.9",0.070,,TRUE,Aldehyde C-18 Gamma Nonalactone from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
4AG00025,Aldehyde C-7 Heptanal from PerfumersWorld,111-71-7,0.620,,FALSE,,,,Available,unchanged
4AC00026,Aldehyde C-8 Octanal from PerfumersWorld,124-13-0,0.200,,FALSE,,,,Available,unchanged
5AC08158,Aldehyde C-8 Octanal 10% in DPG from PerfumersWorld,"124-13-0|0.1
25265-71-8|0.9",0.070,,TRUE,Aldehyde C-8 Octanal from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
4AC00027,Aldehyde C-9 Nonanal from PerfumersWorld,124-19-6,0.240,,FALSE,,,,Available,unchanged
5AC10167,Aldehyde C-9 Nonanal 10% in DPG from PerfumersWorld,"124-19-6|0.1
25265-71-8|0.9",0.070,,TRUE,Aldehyde C-9 Nonanal from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
6GN23713,Algenone from PerfumersWorld,Mixture (Perfume Base),0.400,,FALSE,,,,Available,unchanged
4GN23714,Algix Pure from PerfumersWorld,72987-59-8,2.250,,FALSE,,,,Available,unchanged
4FG00029,Allyl Amyl Glycolate from PerfumersWorld,67634-00-8,0.200,,FALSE,,,,Available,unchanged
