Product_ID,Material_Name,Package_Size,CAS_Number,New CAS,Price_THB_total,Price_THB/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%,Supplier,Product_URL
8E3094000992,Birch Tar Oil Rectified / น้ำมันหอมระเหย ไม้เบิร์ช,5 ml,85940-29-0,,175.00,35.0000,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/36444-36361/birch-tar-oil-rectified
8E3094000991,Cinnamon Bark Oil (Ceylon) / น้ำมันหอมระเหย เปลือกอบเชย / Cinnamon Bark Oil,5 ml,84649-98-9,,225.00,45.0000,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/36443-36360/cinnamon-bark-oil
8E3094000987,Frankincense Essential Oil / น้ำมันหอมระเหย กำยาน / Frankincense Oil,5 ml,89957-98-2,,200.00,40.0000,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/35630-35273/frankincenseoil
8E3094000988,Clove Leaves Essential Oil / น้ำมันหอมระเหย ใบกานพลู / Clove Leaves Oil,1 oz,84961-50-2,,125.00,4.2268,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/35629-35272/cloveleaves
8E23094000321,Orange Essential Oil / น้ำมันหอมระเหย เปลือกส้ม / Orange Oil,1 oz,,,120.00,4.0577,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34448-33898/orange
8E23094000324,Eucalyptus Essential Oil / น้ำมันหอมระเหย ยูคาลิปตัส / Eucalyptus Oil,1 oz,,,99.00,3.3476,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34447-33897/eucalyptus
8E23094000327,Lemon Eucalyptus Essential Oil / น้ำมันหอมระเหย เลม่อน ยูคาลิปตัส / Lemon Eucalyptus Oil,1 oz,,,115.00,3.8886,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34446-33896/lemon-eucalyptus
8E23094000330,Lemongrass Essential Oil / น้ำมันหอมระเหย ตะไคร้ / Lemongrass Oil,1 oz,,,200.00,6.7628,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34445-33895/lemongrass
8E23094000333,Rosemary Essential Oil / น้ำมันหอมระเหย โรสแมรี่ / Rosemary Oil,1 oz,,,350.00,11.8349,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34444-33894/rosemary
8E23094000336,Lemon Essential Oil / น้ำมันหอมระเหย เลม่อน / Lemon Oil,1 oz,,,240.00,8.1154,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34443-33893/lemon-oil
8E23094000342,Lavandin Grosso Essential Oil / น้ำมันหอมระเหย ลาเวนดิน,1 oz,,,150.00,5.0721,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34442-33892/lavandin-grosso
8E23094000348,Camphor Essential Oil / น้ำมันหอมระเหย การบูร / Camphor Oil,1 oz,,,150.00,5.0721,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34441-33891/camphor
8E23094000291,Methyl Salicylate Essential Oil / น้ำมันหอมระเหย ระกำ,1 oz,,,60.00,2.0288,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34440-33890/methyl-salicylate
8E23094000687,Citronella Essential Oil / น้ำมันหอมระเหย ตะไคร้หอม / Citronella Oil /,1 oz,,,90.00,3.0433,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34438-33888/citronella-
8E23094000339,Lavander Essential Oil / น้ำมันหอมระเหย ลาเวนเดอร์ / Lavander Oil /,1 oz,,,340.00,11.4968,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34437-33887/lavander
8E23094000929,Ginger Essential Oil / น้ำมันหอมระเหย ขิง / Ginger Oil /,1 oz,,,300.00,10.1442,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34436-33886/ginger-
8E23094000932,Peppermint Essential Oil / น้ำมันหอมระเหย เปปเปอร์มินต์ / Peppermint Oil /,1 oz,,,250.00,8.4535,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34435-33885/peppermint
8E23094000935,Spearmint Essential Oil / น้ำมันหอมระเหย สเปียร์มินต์ / Spearmint Oil /,1 oz,,,330.00,11.1586,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34434-33884/spearmint
8E23094000941,Menthol Liquid Essential Oil / น้ำมันหอมระเหย เมนทอล / Menthol Liquid Oil,1 oz,,,150.00,5.0721,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34433-33883/menthol-liquid-
8E3094000943,Grapefruit Essential Oil / น้ำมันหอมระเหย เกรปฟรุต / Grapefruit Oil,1 oz,,,360.00,12.1731,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34432-33882/grapefruit-
8E3094000971,Bitter Orange Essential Oil / น้ำมันหอมระเหย ส้มขม / Bitter Orange Oil,1 oz,,,285.00,9.6370,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34424-33874/bitter-orange
8E3094000952,Pine Essential Oil / น้ำมันหอมระเหย สน / Pine Oil /,1 oz,,,300.00,10.1442,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34423-33873/pine
8E3094000975,Lime Essential Oil / น้ำมันหอมระเหย มะนาว / lime Oil /,1 oz,,,285.00,9.6370,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34422-33872/lime
8E3094000983,Neroli Egypt Oil / น้ำมันหอมระเหย ดอกส้ม (เนโรลี่) /,2 g,,,560.00,280.0000,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34421-33871/neroli-egypt-oil
8E3094000984,Nagarmotha Oil ( Cypriol Oil) / น้ำมันหอมระเหย นาการ์มอธา /,5 ml,,,250.00,50.0000,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34420-33870/nagarmotha-oil
8E23094000938,Bergamot Essential Oil / น้ำมันหอมระเหย มะกรูดฝรั่ง / Bergamot Oil /,1 oz,,,275.00,9.2989,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34419-33869/bergamot
8E3094000986,Siam Benzoin Resinoid,,84012-39-5,,,,,,,,,SimpleScentsDIY,https://www.simplescentsdiy.com/product/34168-33501/siam-benzoin-resinoid
