Product_ID	Material_Name	CAS_Number	New CAS	Price_THB/g	Notes	Is_Dilution	Active_Material	Solvent	Active_%
7RB00837	Geranium Oil Egypt from PerfumersWorld	90082-51-2		16.17		FALSE			
6CN24668	Petigrain Bigarade from PerfumersWorld	8014-17-3		14.55		FALSE			
8CS23654	Nepal Pepper Co2 Extract from PerfumersWorld	97404-53-0		142.25		FALSE			
8FY24655	Caribbean Rum Extract from PerfumersWorld	91770-72-8		284.50		FALSE			
8IQ24653	Orris Liquid from PerfumersWorld	8002-73-1		581.94		FALSE			
7SL24626	Jungle Pepper Oil from PerfumersWorld	97404-53-0		132.55		FALSE			
7CK24631	Key Lime Oil Egypt from PerfumersWorld	8008-26-2		8.08		FALSE			
7PL24627	Basil Linalool Oil Egypt from PerfumersWorld	8015-73-4		9.70		FALSE			
4WX24656	Hindinol from PerfumersWorld	28219-60-5		12.61		FALSE			
3LC03808	(Ghost entry - name unknown) from PerfumersWorld			16.17	Blank product page on PW	FALSE			
3WX07632	Sandenol 208 from PerfumersWorld	28219-61-6		10.35		FALSE			
4FY02024	Ethyl Heptylate from PerfumersWorld	106-30-9		3.56		FALSE			
4WF06853	Aphermate from PerfumersWorld	25225-08-5		25.86		FALSE			
4WR00045	Bacdanol from PerfumersWorld	28219-61-6		9.38		FALSE			
5GQ08833	Galbanum Resinoid 10% in DPG from PerfumersWorld	"9000-24-2|0.1
25265-71-8|0.9"		6.47		TRUE	Galbanum Resinoid from PerfumersWorld	Dipropylene Glycol (DPG) from PerfumersWorld	0.1
5GQ13590	Galbanum Resinoid 50% in DEP from PerfumersWorld	"9000-24-2|0.5
84-66-2|0.5"		40.41		TRUE	Galbanum Resinoid from PerfumersWorld	Diethyl Phthalate (DEP) from PerfumersWorld	0.5
5GQ18775	Galbanum Resinoid 10% in TEC from PerfumersWorld	"9000-24-2|0.1
77-93-0|0.9"		7.44		TRUE	Galbanum Resinoid from PerfumersWorld	Triethyl Citrate (TEC) from PerfumersWorld	0.1
5JJ21775	Hedione High Cis 10% in TEC from PerfumersWorld	"24851-98-7|0.1
77-93-0|0.9"		4.20		TRUE	Hedione High Cis from PerfumersWorld	Triethyl Citrate (TEC) from PerfumersWorld	0.1
5KB13801	(Ghost entry - name unknown) from PerfumersWorld			2.59	Blank product page on PW	FALSE			
6WX24054	Sandalwood Base X3 from PerfumersWorld	Mixture (Perfume Base)		8.73		FALSE			
7KH00888	Spruce Essential Oil from PerfumersWorld	8008-80-8		25.86		FALSE			
7SC00941	Pink Pepper Essential Oil from PerfumersWorld	68917-52-2		158.98		FALSE			
8RM00395	Rose de Mai Absolute from PerfumersWorld	84604-12-6		420.29		FALSE			
