Product_ID,Supplier,Material_Name,Clean_Search_Name,CAS_Number,Remediation_Status,Canonical_Name,Verified_CAS,PubChem_Link,Price_USD/g,Is_Dilution,Active_Material,Solvent,Active_%,Notes
4EW07503,PerfumersWorld,2 3-Dimethyl Pyrazine from PerfumersWorld,2 3-dimethyl pyrazine,5910-89-4,VERIFIED_MATCH,"2,3-Dimethylpyrazine",5910-89-4,https://pubchem.ncbi.nlm.nih.gov/compound/22201,2.6900,FALSE,,,,
5EW07840,PerfumersWorld,2 3-Dimethyl Pyrazine 1% in DPG from PerfumersWorld,2 3-dimethyl pyrazine,"5910-89-4|0.01
25265-71-8|0.99",VERIFIED_MATCH,"2,3-Dimethylpyrazine",5910-89-4,https://pubchem.ncbi.nlm.nih.gov/compound/22201,0.1200,TRUE,2 3-Dimethyl Pyrazine from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,1.00,
5EW20137,PerfumersWorld,2 3-Dimethyl Pyrazine 10% in DPG from PerfumersWorld,2 3-dimethyl pyrazine,"5910-89-4|0.1
25265-71-8|0.9",VERIFIED_MATCH,"2,3-Dimethylpyrazine",5910-89-4,https://pubchem.ncbi.nlm.nih.gov/compound/22201,0.2900,TRUE,2 3-Dimethyl Pyrazine from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00,
4EW14326,PerfumersWorld,2 Acetyl Thaizole from PerfumersWorld,2 acetyl thaizole,24295-03-2,VERIFIED_MATCH,2-Acetylthiazole,24295-03-2,https://pubchem.ncbi.nlm.nih.gov/compound/520108,2.5000,FALSE,,,,
1EN13109,PerfumersWorld,2-Acetyl Pyrazine from PerfumersWorld,2-acetyl pyrazine,22047-25-2,VERIFIED_MATCH,Acetylpyrazine,22047-25-2,https://pubchem.ncbi.nlm.nih.gov/compound/30914,0.7100,FALSE,,,,
5EN13769,PerfumersWorld,2-Acetyl Pyrazine 1% in DPG from PerfumersWorld,2-acetyl pyrazine,"22047-25-2|0.01
25265-71-8|0.99",VERIFIED_MATCH,Acetylpyrazine,22047-25-2,https://pubchem.ncbi.nlm.nih.gov/compound/30914,0.1000,TRUE,2-Acetyl Pyrazine from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,1.00,
4ES11805,PerfumersWorld,2-iso Propyl 4 Methyl Thiazole from PerfumersWorld,2-iso propyl 4 methyl thiazole,15679-13-7,VERIFIED_MATCH,2-Isopropyl-4-methylthiazole,15679-13-7,https://pubchem.ncbi.nlm.nih.gov/compound/61808,1.6000,FALSE,,,,
5ES13952,PerfumersWorld,2-iso Propyl 4 Methyl Thiazole 1% in DPG from PerfumersWorld,2-iso propyl 4 methyl thiazole,"15679-13-7|0.01
25265-71-8|0.99",VERIFIED_MATCH,2-Isopropyl-4-methylthiazole,15679-13-7,https://pubchem.ncbi.nlm.nih.gov/compound/61808,0.1000,TRUE,2-iso Propyl 4 Methyl Thiazole from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,1.00,
4FC07622,PerfumersWorld,2-Methyl-2-Pentenoic Acid from PerfumersWorld,2-methyl-2-pentenoic acid,3142-72-1,VERIFIED_MATCH,Butyl 2-methylpentanoate,3142-72-1,https://pubchem.ncbi.nlm.nih.gov/compound/95539,0.3200,FALSE,,,,
5FC07623,PerfumersWorld,2-Methyl-2-Pentenoic Acid 10% in DPG from PerfumersWorld,2-methyl-2-pentenoic acid,"6297-41-2|0.1
25265-71-8|0.9",FIXED_FROM_AUDIT,,3142-72-1,https://pubchem.ncbi.nlm.nih.gov/compound/18458,0.0500,TRUE,2-Methyl-2-Pentenoic Acid from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00,
4FD00001,PerfumersWorld,2-Methylbutyl 2-Methylbutyrate from PerfumersWorld,2-methylbutyl 2-methylbutyrate,2445-78-5,VERIFIED_MATCH,2-Methylbutyl 2-methylbutyrate,2445-78-5,https://pubchem.ncbi.nlm.nih.gov/compound/17129,0.3300,FALSE,,,,
4FY22527,PerfumersWorld,2-Octen-4-one from PerfumersWorld,2-octen-4-one,4643-27-0,VERIFIED_MATCH,2-Octen-4-one,4643-27-0,https://pubchem.ncbi.nlm.nih.gov/compound/5365891,4.1000,FALSE,,,,
